Title,Author,Translator,Language ,Publication_Year,Publisher,Place_of_publication
"New manual of general history : with particular attention to ancient and modern civilization ...: for the use of colleges, high schools, academies","Anderson, John J.",N/A,English ,1893,"Maynard, Merrill & Co",New York
Persian literature : ancient and modern,"Reed, Elizabeth A",N/A,English ,1893,S.C. Griggs and Co,Chicago
The course of empire; outlines of the chief political changes in the history of the world ,"Wheeler, Charles G",N/A,English ,1893,James R Osgood and Company,Boston
Warriors of the Crescent,"Adams, W. H. Davenport",N/A,English ,1892,D. Appleton and Company,New York
A brief history of mediæval and modern peoples,"Steele, Joel Dorman",N/A,English ,1890,A.S. Barnes and Company,New York
"Classified catalogue of books, pamphlets, maps, views, etc. relating to Asia",Francis Edward (firm),N/A,English ,1890,N/A,London
Oriental religions and their relation to universal religion,"Johnson, Samuel",N/A,English ,1890,Houghton Mifflin and company,Boston
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1889,Charles Scribner's Sons,New York
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1889,John W. Lovell Company,New York
"Historical tables, complete hand-book of dates, chronologically arranged","Haentze, Robert",N/A,English ,1888,Western School Supply Company,Chicago
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1888,John Murphy Company,Baltimore
"Notes on Afghánistan and part of Baluchistan, geographical, ethnographical, and historical, extracted from the writings of little known Afghán and Tájzík historians, geographers, and genealogists; the histories of the Ghúris, the Turk sovereigns of the Dihli kingdom, the Mughal sovereigns of the house of Timur, and other Muhammadan chronicles; and from personal observations.","Raverty, H. G",N/A,English ,1888,Eyre and Spottiswoode,London
"The travels of Marco Polo, for boys and girls; with explanatory notes and comments","Knox, Thomas W.","Knox, Thomas W.",English ,1888,G.P. Putnam's Sons,London
"Apologetics : or, The scientific vindication of Christianity Vol.3","Ebrard, Johannes Heinrich August","Stuart, William",English ,1887,T&T Clark,Edinburgh
The works of Edmund Burke Vol. 11,"Burke, Edmund",N/A,English ,1887,John C.Nimmo,London
A glossary of reference on subjects connected with the Far East,"Giles, Herbert Allen",N/A,English ,1886,"Messrs. Lane, Crawford, and Company",Hong Kong
"A popular history of Russia, from the earliest times to 1880 Vol. 1","Rambaud, Alfred",L. B. Lang,English ,1886,Estes and Lauriat,Boston
A topical outline of general history. Designed as a guide to the general reader and for review work in schools,"Boltwood, Henry Leonidas",N/A,English ,1886,"Scott, Foresman, and co.",Chicago
Illustrated school history of the world : from the earliest ages to the present time: accompanied with numerous maps and engravings,"Quackenbos, John Duncan",N/A,English ,1886,D. Appleton and Company,New York
"Labor, land and law; a search for the missing wealth of the working poor","Phillips, William A",N/A,English ,1886,C. Scribner's sons,New York
"New manual of general history : with particular attention to ancient and modern civilization ...: for the use of colleges, high schools, academies","Anderson, John J.",N/A,English ,1886,Clark & Maynard,New York
The empire of Russia: its rise and present power,"Abbott, John S. C. ",N/A,English ,1886,"Dodd, Mead and Company",New York
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1886,The Publishers Place Renting Company,New York
"Central Asian questions : essays on Afghanistan, China, and Central Asia","Boulger, Demetrius Charles de Kavanagh",N/A,English ,1885,T. Fisher Unwin,London
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1885,Charles Scribner's Sons,New York
"La lutte future pour la possession de l'Inde : aperçu des progrès de la Russie dans l'Asie Centrale, et des difficultés qui en découleront pour l'Angleterre","Vámbéry, Ármin",N/A,English ,1885,E. Dentu,Paris
Oriental religions and their relation to universal religion,"Johnson, Samuel",N/A,English ,1885,Houghton Mifflin and company,Boston
"Russian Central Asia, including Kuldja, Bokhara, Khiva and Merv","Lansdell, Henry",N/A,English ,1885,"S. Low, Marston, Searle and Rivington",London
"The travels of Marco Polo, for boys and girls; with explanatory notes and comments","Knox, Thomas W.","Knox, Thomas W.",English ,1885,G.P. Putnam's Sons,London
Histoire de la Russie depuis les origines jusqu'à l'année 1884,"Rambaud, Alfred",N/A,French,1884,Hachette,Paris
History of China Vol. 2,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1884,W. H. Allen & co,London 
The course of empire; outlines of the chief political changes in the history of the world ,"Wheeler, Charles G",N/A,English ,1884,James R Osgood and Company,Boston
The course of empire; outlines of the chief political changes in the history of the world ,"Wheeler, Charles G",N/A,English ,1884,James R Osgood and Company,Boston
The works of Edmund Burke Vol. 11,"Burke, Edmund",N/A,English ,1884,"Little, Brown, and Company",Boston
A brief history of mediæval and modern peoples,"Steele, Joel Dorman",N/A,English ,1883,A.S. Barnes and Company,New York
Eu Asie. Kachmir et Tibet; étude d'etnographie ancienne et moderne,"Ollinier-Beauregard, J. M.",N/A,French,1883,Maisonuneuve et cie,Paris
"A popular history of Russia, from the earliest times to 1880 Vol. 1","Rambaud, Alfred",L. B. Lang,English ,1882,Estes and Lauriat,Boston
"Asiatic history. : China, Corea, Japan","Griffis, William Elliot",N/A,English ,1882,Phillips and Hunt,New York
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1882,W.H. Allen,London
History of Russia from the earliest times to 1882,"Rambaud, Alfred","Lang, L.B.",English ,1882,H.A. Boyles and Company,New York
"New manual of general history : with particular attention to ancient and modern civilization ...: for the use of colleges, high schools, academies","Anderson, John J.",N/A,English ,1882,Clark & Maynard,New York
Poems,"Stoddard, Richard Henry",N/A,English ,1882,Charles Scribner's Sons,New York
"A military dictionary and gazetteer. : Comprising ancient and modern military technical terms, historical accounts of all North American Indians, as well as ancient warlike tribes; also notices of battles from the earliest period to the present time, with a concise explanation of terms used in heraldry and the offices thereof. The work also gives valuable geographical information. Comp. from the best authorities of all nations.","Wilhelm, Thomas",N/A,English ,1881,L.R. Hsamersly,Philadelphia
History of China,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1881,W. H. Allen and Co. ,London
"New manual of general history : with particular attention to ancient and modern civilization ...: for the use of colleges, high schools, academies","Anderson, John J.",N/A,English ,1881,"Maynard, Merrill & Co",New York
Oriental religions and their relation to universal religion,"Johnson, Samuel",N/A,English ,1881,Houghton Mifflin and company,Boston
Russia Vol. 1,"Wallace, Donald Mackenzie",N/A,English ,1881,Cassell Petter and Galpin,London
"Tabak-at-i-n-asir-i: a general history of the Muhammadan dynasties of Asia, including Hind-ust-an, from A.H. 194 (810 A.D.),to A.H. 658 (1260 A.D.), and the irruption of the infidel Mughals into Isl-am","Usm-an ibn Sir-aj ul-D-in, Abu 'Umar Minh-aj ul-D-in, J-uzjan-i","Raverty, H.G.",English ,1881,Gilbert & Rivington,London
"T̤abaḳāt-i-nāsiri a general history of the Muhammadan dynastics of Asia, including Hindustān, from A.H. 194 (810 A.D.) to A.H. 658 (1260 A.D.) and the irruption of the infidel Mughals into Islām",N/A,"ʻUthmān ibn Sirāj al-Dīn, Abu ʻUmar Minhāj al-Din, Jūzjānī",English ,1881,Gilbert & Rivington,London
The history of the decline and fall of the Roman Empire Vol. 2,"Gibbon, Edward",N/A,English ,1881,Phillips and Hunt,New York
The works of Edmund Burke Vol. 11,"Burke, Edmund",N/A,English ,1881,"Little, Brown, and Company",Boston
"A history of the precious metals, from the earliest times to the present","Del Mar, Alexander",N/A,English ,1880,G. Bell and sons,London
"A popular history of Russia, from the earliest times to 1880 Vol. 1","Rambaud, Alfred",L. B. Lang,English ,1880,The Page Company,Boston
Central Asian portraits; the celebrities of the khanates and the neighbouring states,"Boulger, Demetrius Charles de Kavanagh",N/A,English ,1880,W. H. Allen and CO.,London
Marco Polo; his travels and adventures,"Towle, George Makepeace",N/A,English ,1880,Lee and Shepard,Boston
The poems of Richard Henry Stoddard,"Stoddard, Richard Henry",N/A,English ,1880,Charles Scribner's Sons,New York
Illustrated school history of the world : from the earliest ages to the present time: accompanied with numerous maps and engravings,"Quackenbos, John Duncan",N/A,English ,1879,D. Appleton and Company,New York
Invasions of India from central Asia,N/A,N/A,English ,1879,Richard Bentley and Son,London
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1879,"Sampson Low, Marston, Searle, & Rivington",London
The identity of the great conqueror Genghis Khan with the Japanese hero Yoshitsuné; an historical thesis,"Suematsu, Kenchō",N/A,English ,1879,W.H and L Collingridge ,London
A glossary of reference on subjects connected with the Far East,"Giles, Herbert Allen",N/A,English ,1878,"Messrs. Lane, Crawford, and Company",Hong Kong
Histoire de la Russie depuis les origines jusqu'à l'année 1877,"Rambaud, Alfred",N/A,French,1878,Hachette and Company,Paris
"Letters of Kwang Chang Ling. The Chinese side of the Chinese question, by a Chinese literate of the first class, communicated to the San Francisco Argonaut, on the dates of August 7th, 10th, 17th and September 7th, 187","Del Mar, Alexander",N/A,English ,1878,N/A,San Francisco 
Oriental religions and their relation to universal religion,"Johnson, Samuel",N/A,English ,1878,"Houghton, Osgood and Co",Boston
Popular history of the ancient world and its great men Vol. 2,"Von Rotteck, Carl",N/A,English ,1878,J.D. Carson,Philadelphia
"The blue banner or, The adventures of a Mussulman, a Christian, and a pagan, in the time of the Crusades and Mongol conquest","Cahun, David-Léon","Sandars, W. Collett ",English ,1878,"Low, Marston, Searle, & Rivington",London
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1878,"Hooper, Clarke and Co.",New York
"The life of Yakoob Beg; Athalik ghazi, and Badaulet; Ameer of Kashgar","Boulger, Demetrius Charles",N/A,English ,1878,W. H. Allen and Co. ,London
"An outline of general history, for the use of schools","Thalheimer, M. E.",N/A,English ,1877,"Van Antwerp, Bragg, and Co.",Cincinnati
"History of Turkey : comprising the geography, chronology, and statistics of the empire; the ethnology, primitive traditions and sociology of the Turks; the genealogy of the Osmali Dynasty; and the causes of the War of 1877","O'Connor, J. D",N/A,English ,1877,Moses Warren,Chicago
Oriental religions and their relation to universal religion,"Johnson, Samuel",N/A,English ,1877,Houghton Mifflin and company,Boston
Russia Vol. 1,"Wallace, Donald Mackenzie",N/A,English ,1877,Cassell Petter and Galpin,London
The history of Russia from the earliest times to 1877 v.1,"Rambaud, Alfred","Lang, Lenora B.",English ,1877,John W. Lovell Company,New York
The life of Jenghiz Khan,N/A,"Douglas, Robert Kennaway ",English ,1877,Trübner and Co. ,London
Illustrated school history of the world : from the earliest ages to the present time: accompanied with numerous maps and engravings,"Quackenbos, John Duncan",N/A,English ,1876,D. Appleton and Company,New York
The conquest of Europe. A poem of the future. In fourteen short cantos. ,Confucius,N/A,English ,1876,N/A,N/A
"The land and the people of China. A short account of the geography, history, religion, social life, art, industries, and government of China ad its people.","Thomson, J.",N/A,English ,1876,Jas. Truscott and Son,London
The princes of India : an historical narrative of the principal events from the invasion of Mahmoud of Ghizni to that of Nadir Shah,"Sullivan, Edward",N/A,English ,1875,E. Stanford,London 
"Report on the tribes, &c., around the shores of the Persian Gulf","Pelly, Lewis",N/A,English ,1874,Foreign Department Press,Calcutta
"The history of Russia, from the earliest period to the present time. Compiled from the most authentic sources, including the works of Karamsin, Tooke, and Ségur Vol. 2","Kelly, Walter K.",N/A,English ,1874,Henry G. Bohn,London
Genghis Khan,"Abbott, Jacob ",N/A,English ,1873,Harper & Brothers,New York
"History of the world from the earliest period to the present time, collected and arranged from the best authorities","Duyckinck, Evert A.",N/A,English ,1873,"Johnson, Wilson",New York
Oriental religions and their relation to universal religion,"Johnson, Samuel",N/A,English ,1872,J.R. Osgood,Boston
The empire of Russia: its rise and present power,"Abbott, John S. C. ",N/A,English ,1872,"Dodd, Mead and Company",New York
"The history of the empire of Russia: containing an account of all the most interesting events in that vast monarchy, from its earliest origin in the remote ages of barbarism to the present day: when in population and power, it excites the dread and almost controls the the diplomacy, of Europe","Abbott, John S. C.",N/A,English ,1872,B.B. Russell,Boston
"The legend of Perseus : a study of tradition in story, custom and belief vol. 1","Hartland, Edwin Sidney",N/A,English ,1872,David Nutt,London
"Overland through Asia. Pictures of Siberian, Chinese, and Tartar life","Knox, Thomas Wallace",N/A,English ,1871,American Publishing Company,Hartford
"A vocabulary of proper names, in Chinese and English, of places, persons, tribes, and sects, in China, Japan, Corea, Annam, Siam, Burmah, the Straits and adjacent countries","Smith, F. Porter ",N/A,English ,1870,Presbyterian Mission Press,Shanghai
History of the Middle Ages : for colleges and schools ,"Greene, George Washington",N/A,English ,1870,D. Appleton and Company,New York
"Overland through Asia. Pictures of Siberian, Chinese, and Tartar life","Knox, Thomas Wallace",N/A,English ,1870,American Publishing Company,Hartford
"The kings of Europe, past and present, and their families","Fitzgerald, M. S",N/A,English ,1870,"Longmans, Green and Co.",London
Translation and remarks on an ancient Buddhist inscription : at Keu-Yung Kwan in North China,N/A,"Wylie, A.",English ,1870,Trübner and Co. ,London
"History of the world from the earliest period to the present time, collected and arranged from the best authorities","Duyckinck, Evert A.",N/A,English ,1869,"Johnson, Fry and company",New York
The works of Edmund Burke Vol. 11,"Burke, Edmund",N/A,English ,1869,John C.Nimmo,London
The works of Edmund Burke Vol. 11,"Burke, Edmund",N/A,English ,1869,"Little, Brown, and Company",Boston
"True stories, from modern history: chronologically arranged, from the death of Charlemagne to the battle of Waterloo.","Strickland, Agnes",N/A,English ,1868,O.S. Felt,New York
"China the country, history, and people","Tregellas, Walter Hawken",N/A,English ,1867,The Religious Tract Society,London
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1867,John Murphy Company,Baltimore
The Mahometan power in India : the Arnold prize essay for 1867,"Jeune, Francis Henry",N/A,English ,1867,J. Parker and Co,Oxford
Elements of general history: embracing all the leading events in the world's history from the earliest period to the end of the late civil war in the United States,"Barber, John Warner",N/A,English ,1866,Horace C. Peck,New Haven
"The conquerors, warriors, & statesmen of India : an historical narrative of the principal events from the invasion of Mahmoud of Ghizni to that of Nader Shah","Sullivan, Edward",N/A,English ,1866,John Murray,London
"La lutte future pour la possession de l'Inde : aperçu des progrès de la Russie dans l'Asie Centrale, et des difficultés qui en découleront pour l'Angleterre","Vámbéry, Ármin",N/A,English ,1865,Hachette and Company,Paris
"Oriental and western Siberia : a narrative of seven years' exploration and adventures in Siberia, Mongolia, the Kirghis Steppes, Chinese Tartary, and a part of central Asia","Atkinson, Thomas Witlam",N/A,English ,1865,Harper,New York
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1864,John Murphy Company,Baltimore
"The Siberian overland route from Peking to Petersburg, through the deserts and steppes of Mongolia, Tartary","Michie, Alexander",N/A,English ,1864,John Murray,London
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1861,W.J. Hamersley,Hartford
"Oriental and western Siberia : a narrative of seven years' exploration and adventures in Siberia, Mongolia, the Kirghis Steppes, Chinese Tartary, and a part of central Asia","Atkinson, Thomas Witlam",N/A,English ,1860,J. W. Bradley,Philadelphia
The empire of Russia: its rise and present power,"Abbott, John S. C. ",N/A,English ,1860,Mason Brothers,New York
Histoire de la Turquie Vol. 1,"Lavallée, Théophile",N/A,French,1859,Hetze,Brussells
"Oriental and western Siberia : a narrative of seven years' exploration and adventures in Siberia, Mongolia, the Kirghis Steppes, Chinese Tartary, and a part of central Asia","Atkinson, Thomas Witlam",N/A,English ,1859,J. W. Bradley,Philadelphia
"The chronicle of the Christian ages: or, Record of events--ecclesiastical, civil, and military; comprehending every remarkable occurrence from the year 1 to the end of the year, 1858; with tables of contemporary sovereigns, lists of the prelates of the Church of England, men of learning, genius, statesmen, warriors","Hill, John Harwood, ",N/A,English ,1859,J. Hawthorne,Uppingham
The empire of Russia : from the remotest periods to the present time,"Abbot, John S. C. ",N/A,English ,1859,Graves and Young,Boston
The lives of celebrated travellers Vol. 1,"St. John, James Augustus",N/A,English ,1859,Harper & brothers,New York
"True stories, from modern history: chronologically arranged, from the death of Charlemagne to the battle of Waterloo.","Strickland, Agnes",N/A,English ,1859,C.S. Francis and Co.,New York
Lives of the sovereigns of Russia Vol. 1,"Fowler, Georges",N/A,English ,1858,"Sampson, Low, son, and co.",London
"Oriental and western Siberia : a narrative of seven years' exploration and adventures in Siberia, Mongolia, the Kirghis Steppes, Chinese Tartary, and a part of central Asia","Atkinson, Thomas Witlam",N/A,English ,1858,Harper & brothers,New York
"Caravan journeys and wanderings in Persia, Afghanistan, Turkistan, and Beloochistan","Ferrier, J.P.","Jesse, William",English ,1857,John Murray,London
History of the Middle Ages : for colleges and schools ,"Greene, George Washington",N/A,English ,1857,D. Appleton and Company,New York
History of the Christian church Vol. 3,"Neander, August",N/A,English ,1856,Crocker and Brewster,Boston
Right is might and other sketches,"Goodrich, Samuel G",N/A,English ,1856,"Sheldon, Blakeman & co.",New York
"The Russian empire, its people, institutions and resources Vol. 2","Haxthausen, August, Freiherr von","Farie, Robert",English ,1856,Chapman & Hall,London 
"A short historical account of the Crimea, from the earliest ages and during the Russian occupation, comp. from the best authorities.","Barker, William Burckhardt",N/A,English ,1855,Stephen Austin,Hertford
History of Turkey Vol. 1,"Lamartine, Alphonse de",Unknown,English ,1855,D. Appleton and Company,New York
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1855,John Murphy Company,Baltimore
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1855,John Murphy Company,Baltimore
"The Crimea; its ancient and modern history: the khans, the sultans, and the czars, with notices of its scenery and population","Milner, Thomas",N/A,English ,1855,"Longman, Brown, Green, and Longman",London
The tribes of the Caucasus,"Haxthausen, August, Freiherr von",N/A,English ,1855,Chapman & Hall,London
"Islamism: its rise and its progress. Or, The present and past conditions of the Turks Vol. 2","Neale, Fred Arthur",N/A,English ,1854,J. Madden,London
"La Russie et la Turquie, anciennes et modernes: histoire, légendes, moeurs, monumens, arts, littérature","Favre, Léopold",N/A,French,1854,Allouard and Kaeppelin,Paris
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1854","Fredet, Peter",N/A,English ,1854,John Murphy Company,Baltimore
The Fall of the Crimea,"Spencer, Edmund",N/A,English ,1854,G. Routledge and Co.,New York
"The history of Russia, from the earliest period to the present time. Compiled from the most authentic sources, including the works of Karamsin, Tooke, and Ségur Vol. 2","Kelly, Walter K.",N/A,English ,1854,Henry G. Bohn,London
The lives of celebrated travellers Vol. 1,"St. John, James Augustus",N/A,English ,1854,Harper & brothers,New York
"True stories, from modern history: chronologically arranged, from the death of Charlemagne to the battle of Waterloo.","Strickland, Agnes",N/A,English ,1854,C.S. Francis,New York
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1850","Fredet, Peter",N/A,English ,1853,John Murphy Company,Baltimore
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1852,W.J. Hamersley,Hartford
"The second book of history : including the modern history of Europe, Africa, and Asia","Goodrich, Samuel G. ",N/A,English ,1852,"Jenkins, Hickling and Swan ",Boston
"The treasury of history : comprising a general introductory outline of universal history, ancient and modern ; and a series of separate histories of every principal nation that exists; their rise, progress, present condition","Maunder, Samuel",N/A,English ,1852,Henry Bill,London
History of the Middle Ages : for colleges and schools ,"Greene, George Washington",N/A,English ,1851,D. Appleton and Company,New York
"The treasury of history : comprising a general introductory outline of universal history, ancient and modern ; and a series of separate histories of every principal nation that exists; their rise, progress, present condition","Maunder, Samuel",N/A,English ,1851,Henry Bill,London
The expedition for the survey of the rivers Euphrates and Tigris Vol.2,"Chesney, Francis Rawdon",N/A,English ,1850,"Longman, Brown, Green, and Longman",London
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1849,Belknap and Hamersley,Hartford
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1848,Collins and Brother,New York
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1848,Belknap and Hamersley,Hartford
"Temugin; or, The Tartar chief: an historical romance Vol. 1",N/A,N/A,English ,1848,D. Dodson,London
"Temugin; or, The Tartar chief: an historical romance Vol. 2",N/A,N/A,English ,1848,D. Dodson,London
"Temugin; or, The Tartar chief: an historical romance Vol. 3",N/A,N/A,English ,1848,D. Dodson,London
"China; political, commercial, and social; in an official report to Her Majesty's government Vol. 1","Martin, Robert Montgomery",N/A,English ,1847,James Madden,London
"La China considerata nella sua storia, ne'suoi riti, ne'suoi costumi nella sua industria, nelle sue arti e ne'piu memorevoli avvenimenti della guerra attuale : opera originale italiana","La Farina, Giuseppe",N/A,Italian,1847,Luigi Bardi,Florence
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1847,Belknap and Hamersley,Hartford
"Russie, Pologne, Suède et Norwège","Robinet, Edmond",N/A,French,1847,Langlois and Leclercq,Paris
"The treasury of history : comprising a general introductory outline of universal history, ancient and modern ; and a series of separate histories of every principal nation that exists; their rise, progress, present condition","Maunder, Samuel",N/A,English ,1847,D. Adee,New York
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1846,Collins and Brother,New York
The fall of the Nan Soung; a tale of the Mogul conquest of China Vol. 1,"Lymburner, A. L.",N/A,English ,1846,Saunders and Otley,London
The fall of the Nan Soung; a tale of the Mogul conquest of China Vol. 2,"Lymburner, A. L.",N/A,English ,1846,Saunders and Otley,London
The fall of the Nan Soung; a tale of the Mogul conquest of China Vol. 3,"Lymburner, A. L.",N/A,English ,1846,Saunders and Otley,London
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1844,Collins and Brother,New York
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1844,Belknap and Hamersley,Hartford
"The treasury of history : comprising a general introductory outline of universal history, ancient and modern ; and a series of separate histories of every principal nation that exists; their rise, progress, present condition","Maunder, Samuel",N/A,English ,1844,"Longman, Brown, Green, and Longmans",London
"The second book of history : including the modern history of Europe, Africa, and Asia","Goodrich, Samuel G. ",N/A,English ,1843,Charles J. Hendee ,Boston
"Der Kriegs-Schauplatz in Inner-Asien : oder, bemerkungen zu der uebersichts-Karte von Afganistan, dem Penjab und dem lande am untern Indus. Nach englischen quellen herausgegeben, zum leichteren verständiss der inner-asiatischen Angelegenheiten","Zimmermann, Carl",N/A,German,1842,E. H. Schroeder,Berlin
"Modern history; from the coming of Christ and change of the Roman republic into an empire, to the year of our Lord 1842","Fredet, Peter",N/A,English ,1842,John Murphy Company,Baltimore
"The Nestorians, or, The lost tribes containing evidence of their identity, an account of their manners, customs, and ceremonies, together with sketches of travel in ancient Assyria, Armenia, Media, and Mesopotamia","Grant, Asahel",N/A,English ,1841,Harper & brothers,New York
Vie de Djenghiz-Khan ,"Mīr Khvānd, Muḥammad ibn Khāvandshāh",N/A,Persian,1841,Firmin Didot,Paris
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1840,Belknap and Hamersley,Hartford
Russie,"Chopin, Jean Marie",N/A,French,1840,Firmin Didot Frires,Paris
"The second book of history : including the modern history of Europe, Africa, and Asia","Goodrich, Samuel G. ",N/A,English ,1840,Jenks and Hickling ,Boston
Turkey and the Turks: being the present state of the Ottoman empire,"Reid, John",N/A,English ,1840,Robert Tyas,London
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1839,Belknap and Hamersley,Hartford
The lives of celebrated travellers Vol. 1,"St. John, James Augustus",N/A,English ,1839,Harper & brothers,New York
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1838,Belknap and Hamersley,Hartford
"The Shajrat ul Atrak; or, Genealogical tree of the Turks and Tatars","Han, Ebülgâzî Bahadir","Miles, Col. William",English ,1838,Wm. H. Allen and CO.,London
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1837,John P Richardson,Boston
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1837,Belknap and Hamersley,Hartford
Russie pittoresque; historie et tableau de la Russie Vol. 2,"Czyński, Jan",N/A,French,1837,Pilout,Paris
The lives of celebrated travellers Vol. 1,"St. John, James Augustus",N/A,English ,1837,Harper & brothers,New York
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1836,E. Hopkins,Hartford
"Histoire des Mongols : depuis Tchinguiz-Khan jusqu'à Timour Bey, ou Tamerlan Vol.2","Ohsson, Constantin d'",N/A,French,1835,Les frères Van Cleef,La Haye
Outlines of ancient and modern history,"Robbins, Royal",N/A,English ,1835,E. Hopkins,Hartford
The Hindoos Vol 2,N/A,N/A,English ,1835,Charles Knight,London
The lives of celebrated travellers Vol. 1,"St. John, James Augustus",N/A,English ,1835,Harper & brothers,New York
"A sketch of Chinese history, ancient and modern; comprising a retrospect of the foreign intercourse and trade with China Vol. 2","Gützlaff, Karl Friedrich August",N/A,English ,1834,John P. Haven,New York
"The second book of history : including the modern history of Europe, Africa, and Asia","Goodrich, Samuel G. ",N/A,English ,1833,"Carter, Hendee and Co. ",Boston
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1831,"Richardson, Lord & Holbrook",Boston
"Supplement to the conquest of Peru and Mexico by the Moguls, in the XIII century. Confirming the origin of the Toltees and Guatemalans from Tula, and the Aztecs from Assam","Ranking, John",N/A,English ,1831,W. M'Dowall,London
The lives of celebrated travellers Vol. 1,"St. John, James Augustus",N/A,English ,1831,Henry Colburn and Richard Bentley,London
History of Russia and of Peter the Great,"Ségur, Philippe-Paul",N/A,English ,1829,Treuttel and Würtz,London
"True stories, from modern history: chronologically arranged, from the death of Charlemagne to the battle of Waterloo.","Strickland, Agnes",N/A,English ,1829,J. Harris,London
"Historical researches on the conquest of Peru, Mexico, Bogota, Natchez, and Talomeco, in the thirteenth century, by the Mongols, accompanied with elephants; and the local agreement of history and tradition, with the remains of elephants and mastodontes, found in the New world. ","Ranking, John",N/A,English ,1827,"Longman, Rees, Orme, Brown, and Green",London
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1826,Richardson and Lord,Boston
Histoire de l'empire de Russie,"Karamzin, Nikolaĭ Mikhaĭlovich",Unknown,French,1826,L'imprimerie da a Berlin,Paris
"Historical researches on the wars and sports of the Mongols and Romans; in which elephants and wild beasts were employed or slain, and the remarkable local agreement of history with the remains of such animals found in Europe and Siberia ... With a map and ten plates.","Ranking, John",N/A,English ,1826,"Longman, Rees, Orme, Brown, and Green",London
"Memoirs of Zehir-Ed-Din Muhammed Baber, emperor of Hindustan, written by himself, in the Jaghatai Turki Vol. 1","Baber, Zehir-Ed-Din ","Leyden, John and Erksine, William",English ,1826,"Longman, Rees, Orme, Brown, and Green",London
Histoire du royaume de la Chersonèse taurique. ,"Siestrzencewicz-Bohusz, Stanislaw",N/A,French,1824,Russian Imperial Academy,Saint Petersburg
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1823,Richardson and Lord,Boston
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1822,Richardson and Lord,Boston
Letters on India,"Callcott, Maria",N/A,English ,1814,"Longman, Hurst, Rees, Orme, and Brown",London
